Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Trimester At Enrollment,Coded,First trimester | Second trimester | Third trimester,radio,No,no,PIH:11661,CIEL:1721|CIEL:1722|CIEL:1723,,
Sl anc number of visits,Coded,N/A,radio,No,no,CIEL:1590,,,
Weight of other babies,Coded,Low | Normal | High,checkbox,No,no,PIH:20072,CIEL:1407|CIEL:1115|CIEL:1408,Weight of other babies,
Nextofkin,Coded,N/A,radio,No,no,CIEL:162729,,,
Number Neonatal Death,Coded,N/A,radio,Yes,no,PIH:13241,,,
Number Prior Stillbirth,Coded,N/A,radio,Yes,no,CIEL:160077,,,
Risk Factors,Coded,History of spontaneous abortion | History of retained placenta | Eclampsia | Preeclampsia | Antepartum haemorrhage | Postpartum haemorrhage | Previous c-section | HIV | Heart disease | Diabetes | Hypertension | Multiple gestation | Placental abruption | Placenta praevia | Foetal death | Malpresentation of foetus | Victim of GBV | Syphilis,checkbox,No,no,CIEL:160079,CIEL:156650|CIEL:166426|PIH:Eclampsia|PIH:47|PIH:ANTEPARTUM HEMORRHAGE|CIEL:230|CIEL:163155|CIEL:138405|PIH:HEART DISEASE|PIH:DIABETES|PIH:HYPERTENSION|CIEL:115491|CIEL:130108|CIEL:114127|CIEL:140399|CIEL:115939|CIEL:165088|CIEL:112493,Risk Factors,
Risk Factors,Coded,Other,radio,No,no,CIEL:160079,PIH:OTHER,,
Grava,Coded,N/A,radio,Yes,no,CIEL:5624,,,
Para,Coded,N/A,radio,Yes,no,CIEL:1053,,,
Abortus,Coded,N/A,radio,Yes,no,CIEL:1823,,,
Living,Coded,N/A,radio,Yes,no,CIEL:1825,,,
Obstetrics history comment,Coded,N/A,radio,No,no,PIH:14177,,,
Last Period,Date,N/A,date,No,no,CIEL:1427,,,
Due Date,Date,N/A,date,No,no,CIEL:5596,,,
Gestational age,Coded,N/A,radio,No,no,CIEL:1438,,,
Return Visit Date,Date,N/A,date,Yes,no,PIH:RETURN VISIT DATE,,,
Height,Coded,N/A,radio,No,no,CIEL:5090,,,
Weight,Coded,N/A,radio,No,no,CIEL:5089,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5085,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5086,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5085,,,
Vitals blood Pressure short title,Coded,N/A,radio,No,no,CIEL:5086,,,
Fundal Height,Coded,N/A,radio,No,no,CIEL:1439,,,
Fetal Heart Rate,Coded,N/A,radio,No,no,CIEL:1440,,,
Blood type,Coded,N/A,radio,No,no,PIH:BLOOD TYPING,,,
Urine glucose,Coded,3+ | 2+ | 1+ | Trace | Negative,radio,No,no,CIEL:159734,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:664,,
Urine protein,Coded,3+ | 2+ | 1+ | Trace | Trace (alt) | Negative,radio,No,no,CIEL:1875,CIEL:1365|CIEL:1364|CIEL:1363|CIEL:1362|CIEL:159416|CIEL:664,,
FeFol (Ferrous sulfate + Folic acid),Coded,Yes | No,radio,No,no,CIEL:164166,CIEL:1065|CIEL:1066,,
IPTp-SP (for malaria),Coded,Yes | No,radio,No,no,CIEL:1591,CIEL:1065|CIEL:1066,,
Nutrition counselling,Coded,Yes | No,radio,No,no,CIEL:1380,CIEL:1065|CIEL:1066,,
Other complaints,Text,N/A,textarea,No,no,PIH:6760,,,
ITN (insecticide-treated bed net),Coded,Yes | No,radio,No,no,CIEL:159855,CIEL:1065|CIEL:1066,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Free Text Comments,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
Habits smoking,Coded,In the past | Currently | Never | Unknown,radio,No,no,PIH:HISTORY OF TOBACCO USE,PIH:IN THE PAST|PIH:CURRENTLY|PIH:NEVER|PIH:unknown,,
Habits alcohol,Coded,In the past | Currently | Never | Unknown,radio,No,no,PIH:HISTORY OF ALCOHOL USE,PIH:IN THE PAST|PIH:CURRENTLY|PIH:NEVER|PIH:unknown,,
Habits drinks Per Day,Coded,N/A,radio,No,no,PIH:ALCOHOLIC DRINKS PER DAY,,,
Habits drugs,Coded,In the past | Currently | Never | Unknown,radio,No,no,CIEL:162556,PIH:IN THE PAST|PIH:CURRENTLY|PIH:NEVER|PIH:unknown,,
Habits drug Name,Coded,N/A,radio,No,no,PIH:6489,,,
