Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Admission date/time,Date,N/A,date,No,no,PIH:12240,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Type of anesthesia,Coded,N/A,radio,No,no,PIH:Type of anesthesia,,,
Subform: vital-signs-basic-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-basic-widget.xml,subform,No,no,,,,
Oxygenation,Coded,Oxygen saturation on room air greater than 92 percent | Oxygen saturation on supplemental oxygen greater than or equal to 90 percent | Oxygen saturation on supplemental oxygen less than 90 percent,radio,No,no,CIEL:170339,CIEL:170336|CIEL:170337|CIEL:170338,,
Respiration,Coded,Able to breathe deeply and cough freely | Dyspnea or limited breathing | Apnea or requires mechanical ventilation,radio,No,no,CIEL:170343,CIEL:170340|CIEL:170341|CIEL:170342,,
Circulation,Coded,Blood pressure within 20 percent of preanesthetic level | Blood pressure 20-49 percent from preanesthetic level | Blood pressure 50 percent or more from preanesthetic level,radio,No,no,CIEL:170347,CIEL:170344|CIEL:170345|CIEL:170346,,
Level Of Consciousness,Coded,Awake | Responds to voice | Unresponsive,radio,No,no,CIEL:162643,CIEL:160282|CIEL:162645|CIEL:159508,,
Activity,Coded,Able to move all four limbs | Able to move two limbs | Unable to move limbs voluntarily or on command,radio,No,no,CIEL:170351,CIEL:170348|CIEL:170349|CIEL:170350,,
Pain score,Coded,None | Mild | Moderate | Severe,radio,No,no,CIEL:169568,CIEL:1107|CIEL:1498|CIEL:1499|CIEL:1500,,
Nausea score,Coded,None | Mild | Moderate | Severe,radio,No,no,CIEL:170353,CIEL:1107|CIEL:1498|CIEL:1499|CIEL:1500,,
Vomiting,Coded,Yes | No,radio,No,no,CIEL:122983,CIEL:1065|CIEL:1066,,
Shivering,Coded,Yes | No,radio,No,no,PIH:21078,CIEL:1065|CIEL:1066,,
Ambulation started,Coded,Yes | No,radio,No,no,CIEL:170354,CIEL:1065|CIEL:1066,,
Feeding started,Coded,Yes | No,radio,No,no,CIEL:170355,CIEL:1065|CIEL:1066,,
Urinary catheter removed,Coded,Yes | No,radio,No,no,CIEL:170483,CIEL:1065|CIEL:1066,,
Vitals gcs,Coded,N/A,radio,No,no,CIEL:160347,,,
Blood transfusion,Coded,N/A,radio,No,no,CIEL:166650,,Blood transfusion,PIH:Transfusion construct
Urgency,Coded,Routine | Urgent | emergency release,radio,No,no,CIEL:161238,CIEL:161236|CIEL:1882|PIH:21137,Blood transfusion,PIH:Transfusion construct
Urine output,Coded,N/A,radio,No,no,PIH:21114,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
