Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: vital-signs-infant-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-infant-widget.xml,subform,No,no,,,,
Weight,Coded,N/A,radio,No,no,CIEL:5089,,,
Length,Coded,N/A,radio,No,no,CIEL:5090,,,
Head circumference,Coded,N/A,radio,No,no,CIEL:5314,,,
Vitals muac navigation title,Coded,N/A,radio,No,no,CIEL:1343,,,
Blood glucose (RBG),Coded,N/A,radio,No,no,CIEL:887,,,
Umbilical cord stump,Coded,Neonatal umbilical stump clean | Neonatal umbilical stump dry | Neonatal umbilical stump moist | Sticky,checkbox,No,no,CIEL:162121,CIEL:162122|CIEL:162120|CIEL:162124|PIH:1670,Umbilical cord stump,
Comments about umbilical cord,Text,N/A,text,No,no,CIEL:168722,,,
Eyes,Coded,Clear | Red eyes | Yellow color | Neonatal conjunctivitis of both eyes | Neonatal conjunctivitis of right eye | Neonatal conjunctivitis of left eye,checkbox,No,no,CIEL:163309,PIH:3236|CIEL:127777|CIEL:160910|CIEL:168745|CIEL:168747|CIEL:168746,Eyes,
Comments about eyes,Text,N/A,text,No,no,CIEL:168722,,,
Skin color,Coded,Normal | Cyanosis | Neonatal jaundice,checkbox,No,no,CIEL:1120,CIEL:1115|CIEL:143050|CIEL:115368,Skin color,
Comments about skin,Text,N/A,text,No,no,CIEL:160981,,,
Urination,Coded,Normal (passed urine) | Anuria (No urination),radio,No,no,CIEL:166358,CIEL:1115|CIEL:148566,,
Comments about urination,Text,N/A,text,No,no,CIEL:166363,,,
Stool,Coded,Meconium colored feces | Green-brown color | Yellow color | None,radio,No,no,CIEL:163640,CIEL:168748|CIEL:168749|CIEL:160910|CIEL:1107,,
Comments about stool,Text,N/A,text,No,no,CIEL:160965,,,
Neuro exam,Coded,Normal | Abnormal,radio,No,no,CIEL:1129,CIEL:1115|CIEL:1116,,
Seizures,Coded,Yes | No,radio,No,no,PIH:206,CIEL:1065|CIEL:1066,,
Comments about neurological exam,Text,N/A,text,No,no,PIH:11570,,,
Cardiac exam,Coded,Normal | Cardiac murmur,radio,No,no,CIEL:1124,CIEL:1115|CIEL:562,,
Comments about cardiac exam,Text,N/A,text,No,no,CIEL:163046,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Feeding method,Coded,Breastfeeding child | Infant formula | Nothing by mouth,checkbox,No,no,CIEL:1151,CIEL:5632|CIEL:5254|CIEL:170412,Feeding method,
Feeding method,Coded,Tube | Cup | Spoon,radio,No,no,CIEL:168734,CIEL:168743|CIEL:168735|CIEL:168742,,
IV,Coded,Intravenous (IV) access,checkbox,No,no,CIEL:165995,CIEL:1765,,
Date of IV placement,Coded,N/A,radio,No,no,PIH:20289,,,
Site of IV,Coded,Scalp | Hand | Forearm | Foot | Umbilical cord,radio,No,no,CIEL:166006,CIEL:166309|CIEL:164385|CIEL:166241|CIEL:164387|PIH:21117,,
Number of days with IV,Coded,N/A,radio,No,no,PIH:20290,,,
IV,Coded,Dextran | Sodium Chloride 0.9% | Dextrose 5% in Sodium Chloride 0.45% | Dextrose 5% in water | Dextrose 10% in water | Mannitol 20% | Ringer's lactate | 1 part RL to 4 parts D10% | 75mL D5% + 5mL D50% + 20mL NS + 1mL calcium gluconate | 75mL D5% + 5mL D50% + 20mL NS + 1mL calcium gluconate + Magnesium Sulfate | Dextrose 5% in water + Magnesium Sulfate | Dextrose 10% in water + Magnesium Sulfate,checkbox,No,no,PIH:IVF administered,CIEL:74653|CIEL:80804|PIH:7898|CIEL:161250|CIEL:161922|CIEL:161924|CIEL:78617|PIH:20465|PIH:20466|PIH:21128|PIH:21129|PIH:21130,IV,PIH:IVF construct
Ivf Vol,Coded,N/A,radio,No,no,CIEL:170482,,IV,PIH:IVF construct
Air supply,Coded,Room air | Supplemental oxygen therapy | CPAP,radio,No,CPAP → show #cpap; Supplemental oxygen therapy → show #oxy2,CIEL:162739,CIEL:162735|CIEL:162738|CIEL:165944,,
O2,Coded,N/A,radio,No,no,CIEL:165986,,,
CPAP machine pressure,Coded,N/A,radio,No,no,PIH:20357,,,
Fi O2,Coded,N/A,radio,No,no,CIEL:165927,,,
Respiration,Coded,Apnea of newborn,checkbox,No,Apnea of newborn → show #apnea-duration,PIH:DIAGNOSIS,CIEL:121519,Respiration,PIH:Visit Diagnoses
"if apnea, specify apnea duration:",Coded,N/A,radio,No,no,PIH:20460,,,
Neo Resusc,Coded,Yes | No,radio,No,Yes → show #type-resuscitation,CIEL:162131,CIEL:1065|CIEL:1066,,
Method of resuscitation,Coded,Supplemental oxygen therapy | Bag valve mask ventilation | Endotracheal intubation | Cardiopulmonary resuscitation (CPR),checkbox,No,no,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,Method of resuscitation,
Number of days with respiratory support,Coded,N/A,radio,No,no,PIH:20291,,,
Transfusion,Coded,Yes | No,radio,No,Yes → show #transfusion-details,PIH:Transfusion status,PIH:YES|PIH:NO,,
Type of transfusion,Coded,Simple | Exchange,radio,No,no,PIH:20464,PIH:20463|CIEL:167423,,
Type of transfusion,Coded,Whole blood | Packed red blood cells | Plasma | Platelets,radio,No,no,PIH:Transfusion of fluid,PIH:Whole blood|PIH:Packed red blood cells|PIH:Plasma|PIH:Platelets,Type of transfusion,PIH:Transfusion construct
Volume administered (mL),Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
Volume administered (mL),Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
Volume administered (mL),Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
Volume administered (mL),Coded,N/A,radio,No,no,CIEL:166650,,,PIH:Transfusion construct
Type of transfusion,Coded,Blood transfusion reaction,checkbox,No,no,PIH:DIAGNOSIS,CIEL:147119,Type of transfusion,PIH:Visit Diagnoses
Urine output,Coded,N/A,radio,No,no,PIH:21114,,,
Estimated blood loss,Coded,N/A,radio,No,no,PIH:12555,,,
Surgery recommended,Coded,Yes | No,radio,No,no,CIEL:164258,CIEL:1065|CIEL:1066,,
Birth plan,Coded,Prophylactic eye drops,checkbox,No,no,CIEL:1651,CIEL:168724,,
Birth plan,Coded,Vitamin K,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:86352,,
Birth plan,Coded,Vitamin D,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:105310,,
Birth plan,Coded,Umbilical cord care,checkbox,No,no,CIEL:1651,CIEL:168725,,
Treatment plan,Text,N/A,textarea,No,no,CIEL:163104,,,
Surgery,Coded,Adrenaline administered,checkbox,No,no,PIH:12603,CIEL:154365,,
Subform: drug-order-widget-newborn.xml,Other,Subform — configuration/pih/subforms/drug-order-widget-newborn.xml,subform,No,no,,,,
Remarks,Coded,N/A,radio,No,no,PIH:10637,,,
Overall condition,Coded,Satisfactory | Deteriorated,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115,,
