Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Subform: encounter-provider-location-date.xml,Other,Subform — configuration/pih/subforms/encounter-provider-location-date.xml,subform,No,no,,,,
Subform: vital-signs-infant-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-infant-widget.xml,subform,No,no,,,,
Weight,Coded,N/A,radio,No,no,CIEL:5089,,,
Vitals muac navigation title,Coded,N/A,radio,No,no,CIEL:1343,,,
Pre O2Sat,Coded,N/A,radio,No,no,CIEL:170398,,,
Post O2Sat,Coded,N/A,radio,No,no,CIEL:170399,,,
Prophylactic eye ointment,Coded,Prophylactic eye ointment,checkbox,No,no,CIEL:1651,CIEL:168724,,
Umbilical cord care,Coded,Umbilical cord care,checkbox,No,no,CIEL:1651,CIEL:168725,,
86352,Coded,Vitamin K,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:86352,,
Pih task newborn Discharge,Coded,Vitamin D,checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:105310,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Pih app notes summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Hemoglobin,Coded,N/A,radio,No,no,CIEL:21,,,
Blood glucose (RBG),Coded,N/A,radio,No,no,CIEL:887,,,
MRDT,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:1643,CIEL:703|CIEL:664|CIEL:1138,,
Tc B,Coded,N/A,radio,No,no,PIH:21391,,,
Umbilical cord stump,Coded,Neonatal umbilical stump clean | Neonatal umbilical stump dry | Neonatal umbilical stump moist | Sticky,checkbox,No,no,CIEL:162121,CIEL:162122|CIEL:162120|CIEL:162124|PIH:1670,Umbilical cord stump,
Comments about umbilical cord,Text,N/A,text,No,no,CIEL:168722,,,
Eyes,Coded,Clear | Red eyes | Yellow color | Neonatal conjunctivitis of both eyes | Neonatal conjunctivitis of right eye | Neonatal conjunctivitis of left eye,checkbox,No,no,CIEL:163309,PIH:3236|CIEL:127777|CIEL:160910|CIEL:168745|CIEL:168747|CIEL:168746,Eyes,
Comments about eyes,Text,N/A,text,No,no,CIEL:168722,,,
Skin color,Coded,Normal | Cyanosis | Neonatal jaundice,checkbox,No,no,CIEL:1120,CIEL:1115|CIEL:143050|CIEL:115368,Skin color,
Comments about skin,Text,N/A,text,No,no,CIEL:160981,,,
Urination,Coded,Normal (passed urine) | Anuria (No urination),radio,No,no,CIEL:166358,CIEL:1115|CIEL:148566,,
Date & time of 1st urination,Date,N/A,date,No,no,PIH:20266,,,
Comments about urination,Text,N/A,text,No,no,CIEL:166363,,,
Stool,Coded,Meconium colored feces | Green-brown color | Yellow color | None,radio,No,no,CIEL:163640,CIEL:168748|CIEL:168749|CIEL:160910|CIEL:1107,,
Date & time of 1st stool,Date,N/A,date,No,no,PIH:20267,,,
Comments about stool,Text,N/A,text,No,no,CIEL:160965,,,
Neuro exam,Coded,Normal | Abnormal,radio,No,no,CIEL:1129,CIEL:1115|CIEL:1116,,
Seizures,Coded,Yes | No,radio,No,no,PIH:206,CIEL:1065|CIEL:1066,,
Comments about neurological exam,Text,N/A,text,No,no,PIH:11570,,,
Cardiac exam,Coded,Normal | Cardiac murmur,radio,No,no,CIEL:1124,CIEL:1115|CIEL:562,,
Comments about cardiac exam,Text,N/A,text,No,no,CIEL:163046,,,
Subform: drug-order-widget-newborn.xml,Other,Subform — configuration/pih/subforms/drug-order-widget-newborn.xml,subform,No,no,,,,
Remarks,Coded,N/A,radio,No,no,PIH:10637,,,
Remarks,Coded,Breastfed | Formula,radio,No,no,CIEL:1151,CIEL:5632|CIEL:5254,,
Remarks,Coded,Tube | Cup | Spoon,radio,No,no,CIEL:168734,CIEL:168743|CIEL:168735|CIEL:168742,,
Overall condition,Coded,Satisfactory | Deteriorated,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Social support recommendations,Coded,Transport | Formula,checkbox,No,no,PIH:2157,PIH:990|CIEL:5254,Social support recommendations,
Treatment plan,Text,N/A,textarea,No,no,CIEL:163104,,,
Instructions to caregiver,Text,N/A,textarea,No,no,CIEL:163106,,,
Next appointment date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
